object alloc, Thread is main, class is [Ljava/lang/Object;, size is 56, tag is 342 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 343 
object alloc, Thread is main, class is [C, size is 48, tag is 344 
object alloc, Thread is main, class is Ljava/lang/String;, size is 32, tag is 345 
object alloc, Thread is main, class is [Ljava/lang/Object;, size is 16, tag is 346 
object alloc, Thread is main, class is [Ljava/lang/Object;, size is 56, tag is 347 
object alloc, Thread is main, class is Ljava/util/ArrayList;, size is 24, tag is 348 
object alloc, Thread is main, class is Lmiui/content/res/ThemeResources$FilterInfo;, size is 32, tag is 349 
object alloc, Thread is main, class is Lmiui/content/res/ThemeValues;, size is 24, tag is 350 
object alloc, Thread is main, class is Ljava/util/HashMap;, size is 40, tag is 351 
object alloc, Thread is main, class is Ljava/util/HashMap;, size is 40, tag is 352 
object alloc, Thread is main, class is Ljava/util/HashMap;, size is 40, tag is 353 
object alloc, Thread is main, class is Ljava/util/HashMap;, size is 40, tag is 354 
object alloc, Thread is main, class is Lcom/miui/internal/content/res/ThemeFallback;, size is 16, tag is 355 
object alloc, Thread is main, class is Ljava/util/HashMap;, size is 40, tag is 356 
object alloc, Thread is main, class is [Ljava/lang/Object;, size is 56, tag is 357 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 358 
object alloc, Thread is main, class is [C, size is 48, tag is 359 
object alloc, Thread is main, class is [C, size is 80, tag is 360 
object alloc, Thread is main, class is Ljava/lang/String;, size is 40, tag is 361 
object alloc, Thread is main, class is [Ljava/lang/Object;, size is 16, tag is 362 
object alloc, Thread is main, class is Lmiui/content/res/ThemeResourcesPackage;, size is 56, tag is 363 
object alloc, Thread is main, class is Ljava/util/ArrayList;, size is 24, tag is 364 
object alloc, Thread is main, class is Lmiui/content/res/ThemeResources$LoadThemeConfigHelper;, size is 16, tag is 365 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 366 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 367 
object alloc, Thread is main, class is Ljava/lang/String;, size is 48, tag is 368 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 369 
object alloc, Thread is main, class is Ljava/lang/String;, size is 80, tag is 370 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 371 
object alloc, Thread is main, class is Ljava/lang/String;, size is 48, tag is 372 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 373 
